USER_ID,ITEM_ID,EVENT_TYPE,EVENT_VALUE,TIMESTAMP
639,519,RATING,4,891239380
10,230,RATING,4,877892210
128,180,RATING,5,879967174
144,514,RATING,5,888105197
130,293,RATING,5,874953769
495,581,RATING,5,888635655
758,865,RATING,4,881975005
176,150,RATING,4,886047879
328,1483,RATING,4,893195825
235,701,RATING,4,889655086
372,574,RATING,4,876869957
914,197,RATING,4,887122028
864,286,RATING,5,890463283
887,254,RATING,4,881379145
204,269,RATING,4,892388976
70,69,RATING,4,884065733
222,693,RATING,4,878184514
59,658,RATING,4,888205188
788,188,RATING,4,880870083
276,1220,RATING,4,874791048
201,98,RATING,4,884111312
585,1512,RATING,5,891283000
795,169,RATING,5,880567884
291,550,RATING,4,874835218
710,192,RATING,5,882063921
711,169,RATING,5,879992929
343,712,RATING,4,876406391
864,317,RATING,4,888887128
77,154,RATING,5,884733922
409,382,RATING,4,881108170
480,96,RATING,4,891208623
904,97,RATING,4,879735678
815,87,RATING,5,878694199
198,173,RATING,4,884207492
712,790,RATING,4,874956931
160,1012,RATING,5,876769689
936,286,RATING,5,886833794
647,631,RATING,4,876532425
246,288,RATING,5,884922235
541,239,RATING,4,883865211
168,258,RATING,4,884286863
710,197,RATING,4,882064200
887,294,RATING,5,881378219
343,20,RATING,5,876408138
387,773,RATING,4,886481800
352,144,RATING,5,884290328
758,81,RATING,5,881975815
422,93,RATING,4,875129882
314,655,RATING,4,877887605
532,313,RATING,5,884594326
186,988,RATING,4,891719775
12,28,RATING,5,879958969
784,315,RATING,4,891386988
539,170,RATING,5,879788533
923,117,RATING,4,880387598
236,432,RATING,5,890118251
535,275,RATING,4,879619177
793,591,RATING,4,875104752
450,1303,RATING,4,887136016
334,886,RATING,4,891544233
500,258,RATING,4,883864578
494,181,RATING,4,879541298
591,285,RATING,5,891039565
697,1,RATING,5,882622481
10,157,RATING,5,877889004
7,28,RATING,5,891352341
10,133,RATING,5,877891904
665,200,RATING,4,884293741
222,209,RATING,4,878181457
103,471,RATING,4,880416921
862,143,RATING,5,879304722
450,110,RATING,4,882469250
577,623,RATING,5,880475149
438,321,RATING,5,879867960
642,384,RATING,5,886131546
624,100,RATING,5,879792581
351,989,RATING,4,883356684
412,634,RATING,5,879716918
943,546,RATING,4,875502229
796,71,RATING,4,893218764
932,659,RATING,5,891250770
761,924,RATING,4,876190723
514,778,RATING,4,876067546
200,717,RATING,4,876042493
838,1005,RATING,4,887066678
71,475,RATING,5,877319330
177,403,RATING,5,880131201
92,69,RATING,5,875653198
62,162,RATING,4,879375843
435,751,RATING,4,884130725
749,195,RATING,5,878848639
307,132,RATING,4,879283333
236,699,RATING,4,890116095
624,508,RATING,4,879793092
144,778,RATING,4,888106044
894,874,RATING,4,879982788
73,382,RATING,4,888626496
130,316,RATING,4,888211794
472,473,RATING,4,875978867
236,237,RATING,4,890117001
487,1016,RATING,5,883444515
744,479,RATING,5,881171482
180,111,RATING,5,877127747
772,271,RATING,4,889028773
360,302,RATING,4,880353526
286,367,RATING,5,877531574
460,1142,RATING,4,882911203
125,88,RATING,5,879455184
214,20,RATING,4,892668197
643,156,RATING,5,891446826
154,488,RATING,4,879138831
320,692,RATING,4,884750968
783,872,RATING,4,884326545
474,1421,RATING,4,887928562
497,161,RATING,5,879310730
416,427,RATING,5,893213019
593,288,RATING,4,877728878
566,82,RATING,4,881650709
223,339,RATING,4,891549212
560,271,RATING,4,879975194
782,330,RATING,4,891498213
339,234,RATING,4,891032255
721,161,RATING,5,877138816
114,156,RATING,4,881309662
221,156,RATING,5,875245533
468,462,RATING,4,875288196
665,126,RATING,4,884290751
271,642,RATING,5,885849231
581,137,RATING,5,879641787
328,82,RATING,4,885046537
477,709,RATING,5,875941763
756,96,RATING,4,874828640
482,313,RATING,5,887643146
234,745,RATING,4,892333573
894,278,RATING,4,880416419
188,97,RATING,5,875071891
870,69,RATING,4,875050603
370,100,RATING,4,879435369
886,1019,RATING,4,876031695
250,151,RATING,4,878089677
184,451,RATING,4,889909914
189,89,RATING,5,893265624
305,242,RATING,5,886307828
30,286,RATING,5,885941156
213,508,RATING,4,878870790
346,879,RATING,5,886273570
295,843,RATING,4,879517994
505,568,RATING,4,889333466
919,9,RATING,5,875288749
435,268,RATING,5,884130688
919,16,RATING,4,875289533
798,403,RATING,4,875743140
426,519,RATING,4,879444117
436,925,RATING,4,887770507
495,507,RATING,4,888633316
605,294,RATING,4,879365219
679,748,RATING,4,884312926
719,162,RATING,4,879361003
599,748,RATING,4,880951144
60,673,RATING,4,883327711
159,15,RATING,5,880485972
295,737,RATING,5,879518607
807,89,RATING,4,892528470
934,427,RATING,4,891191027
616,331,RATING,4,891224677
557,289,RATING,4,880484992
54,1,RATING,4,880931595
564,313,RATING,4,888718415
435,2,RATING,4,884132619
383,479,RATING,4,891192985
264,671,RATING,4,886122261
189,234,RATING,5,893265401
314,1063,RATING,5,877887568
385,1069,RATING,4,879442235
29,269,RATING,4,882820897
495,172,RATING,5,888632378
805,922,RATING,5,881702716
87,554,RATING,4,879875940
450,614,RATING,4,882377479
469,215,RATING,4,879523802
308,408,RATING,5,887738268
451,879,RATING,4,879012580
486,1514,RATING,4,879874663
62,498,RATING,4,879373848
893,50,RATING,5,874829883
773,364,RATING,4,888539875
401,684,RATING,4,891033651
622,24,RATING,4,882590367
151,660,RATING,4,879524199
63,50,RATING,4,875747292
862,476,RATING,4,879303622
481,86,RATING,5,885828650
524,185,RATING,4,884635204
72,1147,RATING,5,880036783
869,269,RATING,4,884493279
141,815,RATING,4,884585070
862,603,RATING,5,879304445
276,82,RATING,4,874792402
694,357,RATING,5,875726618
76,203,RATING,4,875027507
458,530,RATING,4,886396005
378,277,RATING,4,880044609
60,601,RATING,4,883325944
172,580,RATING,4,875538028
469,530,RATING,5,879524376
845,1434,RATING,4,885409719
276,160,RATING,4,874787441
488,222,RATING,4,891376029
280,288,RATING,5,891700184
308,494,RATING,5,887738570
450,101,RATING,5,882399359
345,381,RATING,4,884993505
666,70,RATING,4,880139526
99,402,RATING,4,885680617
308,419,RATING,4,887737194
894,479,RATING,5,879897198
416,470,RATING,4,878880154
786,211,RATING,4,882843500
102,228,RATING,4,888801465
221,27,RATING,4,875247754
279,105,RATING,4,875297381
717,1137,RATING,5,884642580
387,513,RATING,5,886483330
239,463,RATING,5,889178689
291,772,RATING,4,874868169
881,176,RATING,4,876537679
269,177,RATING,5,891449214
825,823,RATING,4,881342978
95,216,RATING,5,880573287
385,37,RATING,4,880013483
303,517,RATING,5,879484480
13,190,RATING,4,882397145
293,416,RATING,4,888907575
887,409,RATING,4,881378971
308,520,RATING,4,887738508
848,708,RATING,4,887046619
903,203,RATING,4,891032911
158,770,RATING,5,880134477
65,392,RATING,5,879217689
406,498,RATING,5,879445378
303,484,RATING,5,879466966
648,405,RATING,4,882211924
259,200,RATING,4,874725081
589,751,RATING,4,883352562
10,664,RATING,4,877886911
334,1525,RATING,4,893074672
497,172,RATING,5,879310705
109,181,RATING,5,880563471
60,502,RATING,4,883327394
283,393,RATING,4,879298295
269,632,RATING,4,891447931
816,294,RATING,5,891711801
327,514,RATING,4,887747338
838,70,RATING,4,887066207
311,482,RATING,4,884365104
347,203,RATING,5,881654232
297,83,RATING,4,875774306
392,302,RATING,5,891037385
357,595,RATING,4,878951537
229,302,RATING,5,891633028
643,55,RATING,4,891448218
453,421,RATING,4,888203015
294,902,RATING,4,891404417
222,69,RATING,5,878182338
716,162,RATING,4,879796311
899,204,RATING,4,884121683
66,300,RATING,5,883601089
903,210,RATING,4,891033541
883,693,RATING,4,891717988
463,246,RATING,4,877387935
121,257,RATING,5,891390014
262,70,RATING,4,879962517
918,132,RATING,4,891986904
486,242,RATING,4,879874018
145,652,RATING,5,882181571
532,485,RATING,5,893119491
312,478,RATING,5,891698664
785,69,RATING,4,879439137
534,109,RATING,4,877808053
223,71,RATING,5,891550649
423,272,RATING,5,891394503
330,866,RATING,5,876544998
456,721,RATING,4,881373756
579,88,RATING,4,880952440
393,761,RATING,4,889728667
279,1291,RATING,4,875297708
409,134,RATING,5,881106734
943,31,RATING,4,888639066
279,395,RATING,4,875659329
567,603,RATING,5,882425631
835,210,RATING,5,891033303
417,195,RATING,5,879647380
25,275,RATING,4,885853335
292,156,RATING,5,881105516
222,300,RATING,5,877562795
394,419,RATING,5,880887250
611,336,RATING,5,891636399
280,140,RATING,4,891701223
621,208,RATING,4,874962824
766,191,RATING,4,891310067
664,202,RATING,4,878094973
246,568,RATING,4,884922451
489,271,RATING,4,891448706
250,2,RATING,4,878090414
322,479,RATING,5,887313892
524,506,RATING,4,884634938
