USER_ID,ITEM_ID,EVENT_TYPE,EVENT_VALUE,TIMESTAMP
537,491,RATING,4,886030584
690,69,RATING,5,881179293
615,83,RATING,4,879448399
664,480,RATING,5,878091393
126,881,RATING,5,887938392
389,136,RATING,4,880087671
581,137,RATING,5,879641787
44,121,RATING,4,878346946
879,237,RATING,4,887761309
645,61,RATING,5,892054508
932,119,RATING,5,891249586
861,319,RATING,5,881274504
885,169,RATING,5,885714820
416,662,RATING,4,876699994
582,181,RATING,4,882961301
347,258,RATING,4,881652077
846,67,RATING,4,883950252
840,152,RATING,4,891204160
328,144,RATING,4,885045740
144,187,RATING,4,888105312
333,300,RATING,4,891044389
645,135,RATING,5,892054707
894,19,RATING,4,879897100
709,282,RATING,5,879847945
777,204,RATING,5,875980670
484,111,RATING,4,881450111
332,1016,RATING,5,887916529
876,511,RATING,5,879428354
798,403,RATING,4,875743140
916,806,RATING,4,880844552
468,367,RATING,4,875296868
466,899,RATING,5,890284231
75,111,RATING,4,884050502
655,185,RATING,4,887430102
499,484,RATING,4,885599013
393,42,RATING,4,889554976
600,570,RATING,4,888452563
333,100,RATING,4,891045666
553,482,RATING,4,879948831
655,273,RATING,4,887426373
371,504,RATING,4,880435576
622,433,RATING,4,882669886
454,568,RATING,4,888266906
465,134,RATING,4,883530133
739,132,RATING,4,886959039
436,974,RATING,5,887771997
823,747,RATING,4,878438585
409,516,RATING,4,881109347
807,612,RATING,5,892528690
403,127,RATING,4,879786221
535,7,RATING,5,879618776
85,443,RATING,4,879454582
334,1202,RATING,4,891544680
13,124,RATING,5,884538663
62,652,RATING,4,879375364
270,181,RATING,4,876954036
64,79,RATING,4,889737943
6,169,RATING,4,883600943
686,205,RATING,5,879545181
90,1203,RATING,5,891385466
712,790,RATING,4,874956931
416,652,RATING,4,876699526
529,307,RATING,5,882534996
331,1296,RATING,5,877196820
233,506,RATING,5,877663337
269,919,RATING,4,891446132
907,301,RATING,4,880158537
488,434,RATING,4,891294785
940,436,RATING,4,885921542
94,192,RATING,4,891721142
59,131,RATING,4,888205410
388,682,RATING,4,886439808
506,523,RATING,5,874873112
495,479,RATING,4,888632574
244,111,RATING,4,880604550
622,578,RATING,4,882670843
95,692,RATING,4,879198482
254,172,RATING,5,886472051
341,876,RATING,4,890757886
62,89,RATING,5,879374640
334,12,RATING,5,891547016
234,430,RATING,4,892333683
286,20,RATING,4,876521858
707,467,RATING,4,886286057
342,108,RATING,4,874984574
888,180,RATING,4,879365004
110,1188,RATING,4,886988818
301,121,RATING,4,882075148
854,100,RATING,5,882812225
6,23,RATING,4,883601365
758,53,RATING,4,882053613
18,610,RATING,4,880130861
210,380,RATING,4,887736482
8,338,RATING,4,879361873
665,1009,RATING,4,884291936
182,864,RATING,4,885613092
724,258,RATING,4,883757537
899,117,RATING,4,884119830
373,102,RATING,5,877100096
747,204,RATING,5,888732899
592,260,RATING,4,882607690
828,24,RATING,4,891035864
738,174,RATING,5,875349968
417,248,RATING,4,879646286
91,64,RATING,4,891439243
280,95,RATING,5,891700570
682,56,RATING,4,888519077
1,248,RATING,4,874965954
483,676,RATING,4,878950972
299,151,RATING,4,877878227
130,63,RATING,4,876252521
661,709,RATING,4,886841685
1,72,RATING,4,878542678
584,222,RATING,4,885774483
385,1154,RATING,5,880870205
593,282,RATING,5,875659518
545,204,RATING,4,879899641
535,482,RATING,4,879619107
368,11,RATING,4,889783678
